payload,label,type
"run_cmd,SUB 895 -448",benign,math
"run_cmd,echo system ok",benign,echo
"run,ADD -2 12",malicious,cmd_parse_error
"start_temp_report,1.5",malicious,temp_error
"run_cmd,ADD 128 -733",benign,math
"run,ADD -7 -37",malicious,cmd_parse_error
"run_cmd,SUB 528 -784",benign,math
"run_cmd,echo temperature normal",benign,echo
"run_cmd,ADD 95 35 -33",malicious,cmd_parse_error
"run_cmd,ADD -669 994",benign,math
"run_cmd,SUB -89 -78 6",malicious,cmd_parse_error
"run_cmd,ADD 775 782",benign,math
"echo,abc123",benign,echo
"run_cmd,echo device ready",benign,echo
"run_cmd,ADD -56 NaN",malicious,cmd_parse_error
"echo,device ready",benign,echo
"run_cmd,ADD 20 43 -67",malicious,cmd_parse_error
"run_cmd,SUB -25 abc",malicious,cmd_parse_error
"run_cmd,SUB 530 -798",benign,math
"run_cmd,SUB 3 80 -88",malicious,cmd_parse_error
"echo,done",benign,echo
"run_cmd,ADD -15 -99 65",malicious,cmd_parse_error
"run_cmd,echo system ok",benign,echo
"run_cmd,SUB -8 22 63",malicious,cmd_parse_error
"echo,<script>alert(1)</script>",malicious,cmdi
"echo,name=$USER; id",malicious,cmdi
"echo,<img src=x onerror=alert(1)>",malicious,cmdi
"echo,done",benign,echo
"echo,hi && shutdown now",malicious,cmdi
"run_cmd,echo abc123",benign,echo
"run_cmd,echo system ok",benign,echo
"run_cmd,echo system ok",benign,echo
"run_cmd,ADD 69 63 86",malicious,cmd_parse_error
"start_temp_report,NaN",malicious,temp_error
"run_cmd,ADD -12 35 -36",malicious,cmd_parse_error
"run_cmd,SUB 267 733",benign,math
"echo,done",benign,echo
"echo,system ok",benign,echo
"run_cmd,SUBB 84 18",malicious,cmd_parse_error
"run_cmd,echo temperature normal",benign,echo
"start_temp_report,abc",malicious,temp_error
"run_cmd,ADDd 57 -48",malicious,cmd_parse_error
"start_temp_report,-1",malicious,temp_error
"run_cmd,echo temperature normal",benign,echo
"echo,system ok",benign,echo
"run_cmd,ADD 63 X",malicious,cmd_parse_error
"run_cmd,echo hello world",benign,echo
"run_cmd,ADD -35 1.5",malicious,cmd_parse_error
"run_cmd,echo system ok",benign,echo
"run_cmd,echo system ok",benign,echo
"run_cmd,SUB -53 -90 -30",malicious,cmd_parse_error
"run_cmd,SUB -79 -14 72",malicious,cmd_parse_error
"run_cmd,echo done",benign,echo
"run_cmd,ADD 66 -4 -27",malicious,cmd_parse_error
"echo,abc123",benign,echo
"run_cmd,SUB -953 -919",benign,math
"run_cmd,echo status | cat /etc/passwd",malicious,cmdi
"start_temp_report,xyz",benign,temp
"run_cmd,echo done",benign,echo
"echo,abc123",benign,echo
"start_temp_report,NaN",malicious,temp_error
"run_cmd,SUB -16 90 -71",malicious,cmd_parse_error
"run_cmd,SUB -243 -178",benign,math
"echo,<script>alert(1)</script>",malicious,cmdi
"run_cmd,SUB 599 -486",benign,math
"eco,ADD 20 24",malicious,cmd_parse_error
"run_cmd,ADD 188 -556",benign,math
"run_cmd,SUBB -80 90",malicious,cmd_parse_error
"start_temp_report,xyz",benign,temp
"run_cmd,echo user `whoami`",malicious,cmdi
"run_cmd,ADD -32 81",benign,math
"echo,hello world",benign,echo
"run_cmd,echo system ok",benign,echo
"echo,done",benign,echo
"run_cmd,ADD 50 NaN",malicious,cmd_parse_error
"echo,temperature normal",benign,echo
"echo,temperature normal",benign,echo
"run_cmd,echo done",benign,echo
"run_cmd,SUB 7 X",malicious,cmd_parse_error
"run,ADD 22 31",malicious,cmd_parse_error
"start_temp_report,abc",malicious,temp_error
"run_cmd,echo ping 8.8.8.8 && reboot",malicious,cmdi
"run_cmd,SUB -19 -54 -100",malicious,cmd_parse_error
"run_cmd,ADD -686 971",benign,math
"start_temp_report,5",benign,temp
"run_cmd,SUB 7 -702",benign,math
"echo,system ok",benign,echo
"run_cmd,ADD 707 685",benign,math
"run_cmd,SUB 93 59 80",malicious,cmd_parse_error
"echo,name=$USER; id",malicious,cmdi
"rn_cmd,ADD 43 -9",malicious,cmd_parse_error
"run_cmd,ADD 730 -634",benign,math
"run_cmd,ADD 60 -65 89",malicious,cmd_parse_error
"run_cmd,SUB -88 abc",malicious,cmd_parse_error
"echo,done",benign,echo
"start_temp_report,10",benign,temp
"run_cmd,ADD -25 NaN",malicious,cmd_parse_error
"run_cmd,echo abc123",benign,echo
"run_cmd,echo hello world",benign,echo
"run_cmd,ADD 914 322",benign,math
"run_cmd,ADD 55 -28 -54",malicious,cmd_parse_error
"start_temp_report,10",benign,temp
"run_cmd,echo hello world",benign,echo
"echo,hi && shutdown now",malicious,cmdi
"run_cmd,SUB 96 NaN",malicious,cmd_parse_error
"start_temp_report,1",benign,temp
"echo,abc123",benign,echo
"run_cmd,SUB 36 X",malicious,cmd_parse_error
"run_cmd,SUB 754 67",benign,math
"start_temp_report,60",benign,temp
"run_cmd,echo user `whoami`",malicious,cmdi
"run_cmd,echo done",benign,echo
"start_temp_report,60",benign,temp
"echo,device ready",benign,echo
"eco,ADD -24 -22",malicious,cmd_parse_error
"run_cmd,echo abc123",benign,echo
"run_cmd,ADD 333 -359",benign,math
"run_cmd,ADD 21 X",malicious,cmd_parse_error
"echo,hi && shutdown now",malicious,cmdi
"echo,hi && shutdown now",malicious,cmdi
"run_cmd,SUBB 93 -72",malicious,cmd_parse_error
"start_temp_report,0",malicious,temp_error
"run_cmd,SUB 31 NaN",malicious,cmd_parse_error
"run_cmd,ADD -28 -89 -43",malicious,cmd_parse_error
"run_cmd,SUB 55 92 35",malicious,cmd_parse_error
"run_cmd,ADD 189 475",benign,math
"run_cmd,SUB 93 abc",malicious,cmd_parse_error
