payload,label,attack_type
"run_cmd, ADD 5 6",benign, norm
"run_cmd, ADD 123 456",benign, norm
"run_cmd, ADD 0 99",benign, norm
"run_cmd, echo MQTT_test",benign, norm
"run_cmd, echo safe_message_123",benign, norm
"echo, hello world",benign, norm
"echo, this_is_safe",benign, norm
"echo, normal_text_2025",benign, norm
"start_temp_report, 3",benign, norm
"start_temp_report, 10",benign, norm
"start_temp_report, 120",benign, norm
"run_cmd, efwefsfew",malicious,invalid_run_cmd
"run_cmd, ADD 5 ; rm -rf /",malicious,cmd_injection
"run_cmd, ADD 7 8 && reboot",malicious,cmd_injection
"run_cmd, echo hello | cat /etc/passwd",malicious,cmd_injection
"run_cmd, echo hi;reboot",malicious,cmd_injection
"run_cmd, echo test > output.txt",malicious,cmd_injection
"echo, hello; reboot",malicious,cmd_injection
"echo, hi && rm -rf /",malicious,cmd_injection
"echo, show $HOME",malicious,cmd_injection
"echo, show &fdsfdcadfa",malicious,cmd_injection
"echo, show | & ; ` $sa >s <cscadadsaw",malicious,cmd_injection
"start_temp_report, 1",malicious,invalid_param
"start_temp_report, -5",malicious,invalid_param
"start_temp_report, 5; rm -rf /",malicious,cmd_injection
"echo, 'safe', 'hello', 'status', 'iot'",benign,norm
"echo, hello",benign,norm
"run_cmd, ADD dfswef dfwds",malicious,cmd_parse_error
"run_cmd, echo ['normal']",benign,norm
"start_temp_report, 76",benign,norm
36,malicious,cmd_parse_error
lizzi,malicious,cmd_parse_error
"echo, ['sensor', 'status', 'report']",benign,norm
"run_cmd, echo ['payload', 'data', 'report']",benign,norm
"1'||(select 'zpwe' from dual where 7743=7743 union all select null,null#",malicious,cmdi
"echo, ['iot']",benign,norm
"echo, ['ready']",benign,norm
"start_temp_report, 94",benign,norm
"run_cmd, echo ['sensor', 'mqtt']",benign,norm
perseidas,malicious,cmd_parse_error
"-4947' in boolean mode) union all select 3314,3314#",malicious,cmd_parse_error
"-1830"")) as bptv where 4805=4805 or 4144=(select upper(xmltype(chr(60)||chr(58)||chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (4144=4144) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113)||chr(62))) from dual)--",malicious,cmdi
"start_temp_report, 54",benign,norm
"echo, ['ready', 'device', 'safe']",benign,norm
encap-irotar,malicious,cmd_parse_error
"run_cmd, echo ['report', 'safe']",benign,norm
"-9845"") as xpis where 1936=1936 or 1 group by concat(0x7171706a71,(select (case when (4232=4232) then 1 else 0 end)),0x717a767a71,floor(rand(0)*2)) having min(0)#",malicious,cmd_parse_error
"run_cmd, echo ['normal', 'system', 'device']",benign,norm
"run_cmd, ADD 922 18",benign,norm
"1 union all select null,null,null,null--",malicious,cmd_parse_error
"-3347'+(select xuzs where 1076=1076 union all select 1076,1076,1076,1076,1076--",malicious,cmd_parse_error
"echo, ['sensor', 'normal', 'hello', 'safe']",benign,norm
"1"")) and (select 9067 from(select count(*),concat(0x7171706a71,(select (elt(9067=9067,1))),0x717a767a71,floor(rand(0)*2))x from information_schema.character_sets group by x)a) and ((""qycx"" like ""qycx",malicious,cmd_parse_error
"run_cmd, echo ['system']",benign,norm
"run_cmd, echo ['iot', 'mqtt', 'hello']",benign,norm
(case when 2646=8520 then 2646 else null end),malicious,cmd_parse_error
"echo, ['sensor', 'normal']",benign,norm
"run_cmd, ADD 823 36",benign,norm
"start_temp_report, 8",benign,norm
"run_cmd, ADD 257 677",benign,norm
-3677')) or 1939=4484,malicious,cmd_parse_error
"1%') or 8514=benchmark(5000000,md5(0x544d5a4c))#",malicious,cmd_parse_error
">""<link rel=""stylesheet"" href=""javascript:document.cookie=true;"">",malicious,cmdi
"start_temp_report, 53",benign,norm
0479266564613834,malicious,cmd_parse_error
calle villalon 13 1g,malicious,cmd_parse_error
generato,malicious,cmd_parse_error
"run_cmd, echo system', 'payload', 'world",benign,norm
"-8636""))) union all select 1821,1821,1821,1821,1821,1821,1821,1821,1821,1821--",malicious,cmd_parse_error
"echo, ['device', 'hello', 'sensor', 'payload']",benign,norm
iocntrl,malicious,cmd_parse_error
"start_temp_report, 21",benign,norm
"run_cmd, echo ['ping', 'esp32', 'world']",benign,norm
c/ francisco rodriguez 48,malicious,cmd_parse_error
"echo, ['sensor', 'hello', 'payload', 'device']",benign,norm
"run_cmd, ADD 69 744",benign,norm
"run_cmd, echo ['payload', 'data', 'normal', 'iot']",benign,norm
"run_cmd, ADD 379 583",benign,norm
rancar,malicious,cmd_parse_error
"1""));create or replace function sleep(int) returns int as '/lib/libc.so.6','sleep' language 'c' strict; select sleep(5)--",malicious,cmdi
94lp90ulo,malicious,cmd_parse_error
sheila,malicious,cmd_parse_error
alh4a3,malicious,cmd_parse_error
"run_cmd, ADD 900 202",benign,norm
"echo, ['world']",benign,norm
"start_temp_report, 18",benign,norm
